,actr,año_nac,conocido_por,que_hace,premios
228,Alberto Jiménez,,"'The Sea Inside', 'La Reina del Sur', 'The Ministry of Time', 'Oviedo Express'",Actress,0
229,Alberto Orlandi,,"'666 Desdemona', 'The Iced Hunter', 'Double Cut', 'Real Love Never Dies'",Actor,0
230,Albi De Abreu,1975.0,"'Colmillo', 'Música Del Cielo', 'Cortos Interruptus', 'Espera'","Actress, Producer, Director",3 wins & 19 nominations
231,Albina Korzh,,"'Maksym Osa', 'Between the Lines', 'Up and Down'","Actress, Producer, Second Unit Director or Assistant Director",2 nominations
232,Aldo D'Amoricio,,'Il giardino dei ciliegi',Actress,1 nomination
233,Alec Su,1973.0,"'The Left Ear', 'The Message', 'A Tibetan Love Song', 'Xian yi ren X de xian shen'","Actress, Producer",2 wins & 5 nominations
234,Aleesha Asper,,"'Caustic Zombies', 'Dr.Leprosy's Visceral'","Additional Crew, Producer, Actor",0
235,Aleh Neliubin,,"'Stranger Things', 'Ray Donovan', 'Documentary Now!', 'Leverage'","Actor, Special Effects, Writer",1 win & 1 nomination
236,Alejandra Adame,1981.0,"'Bad Girls', 'Vecinos', 'Fray Justicia', 'Violanchelo'","Actor, Second Unit or Assistant Director",1 nomination
237,Alejandra Alcaraz,,"'Karmen Rose', 'Basura'","Actor, Camera and Electrical Department, Producer",0
238,Alejandra Colom,,"'La Llorona', 'Tremors'",Actress,0
239,Alejandra Nolasco,,'Lunch Box',Actress,0
240,Alejandra Toussaint,,'No hay datos sobre porqué es conocido',Actress,0
241,Alejandra Vega,1978.0,"'Idolos', 'Vivir con 10', 'Malta con Huevo', 'Secretos en el jardín'","Actor, Producer, Writer",4 wins & 6 nominations
242,Alejandro Agresti,1961.0,"'Buenos Aires Vice Versa', 'El viento se llevó lo que', 'Todo el bien del mundo', 'El sueño de Valentín'",Actress,1 win & 1 nomination
243,Alejandro Awada,1961.0,"'Gone Fishing', 'Hombres de honor', 'Nine Queens', 'The Aura'","Actor, Soundtrack",2 wins & 7 nominations
244,Alejandro Furth,,"'Echo 3', 'Barry', 'Bosch', 'Narcos: México'",Actr,0
245,Alejandro Pérez,,"'Bailando Brazilian Portuguese Version','Bailando Spanish Version','Bailando English Version','Bailando Portugal Portuguese Version'","Actor, Producer, Director",1 win & 3 nominations
246,Alejandro Palma Trujillo,,'Mittel Würffel',"Actor, Director, Writer",0
247,Alejandro Rodriguez,1986.0,"'Noomie', 'Teen Beach Movie', 'Dirty Dancing 2'","Director, Editor, Writer",0
248,Alek Gearhart,,"'Final X: The Final Experiment', 'Where Birds Don't Fly', 'Santa Muerte', 'Ridge War Z'",Actor,0
249,Aleka Toumazatou,,"'Entwined', 'Stone Years', 'Angelos', 'Tales of a Honeycomb'",Actress,0
250,Aleksander Novikov,2004.0,"'Kukolnik', 'Dva berega', 'Lada Gold', 'Pishcheblok'","Actor, Producer, Writer",0
251,Aleksander Pechterev,,"'Alien nightmare X', 'Anthology of Horror 3', 'Anthology of Horror 2', 'Baykalskiy intsident. Skrytaya ugroza'","Director, Actor, Special Effects",0
252,Aleksandr Morfov,1960.0,"'Hushove', 'Halmat na borovinkite', 'The Goat Horn', 'AkaTaMuS'","Actor, Director, Writer",1 win
253,Aleksandr Oleshko,1976.0,"'August 8', 'Dark Planet', 'Dark Planet: Rebellion', 'Nam - 75!'","Actor, Director, Producer",4 wins & 3 nominations
254,Aleksandra Abrameytseva,,"'Vo veki vechnye', 'Odin malenkiy nochnoy sekret', 'Lantset', 'Misha portit vsyo'",Actr,0
255,Aleksandra Kostova,,"'Petya na moyata Petya', 'Monkey', 'The World Will Tremble', 'The Sinking of Sozopol'",Actor,1 nomination
256,Aleksey Batalov,1928.0,"'The Lady with the Dog', 'A Big Family', 'The Cranes Are Flying', 'Zvezda plenitelnogo schastya'","Actor, Writer, Director",6 wins
257,Aleksey Chadov,1981.0,"'Night Watch', 'Day Watch', '9th Company', 'War'","Actress, Stunts",0
258,Aleksey Gessen,,'Pokhorony Stalina',Make-Up Department,0
259,Aleksey Serebryakov,1964.0,"'Leviathan', 'Nobody', 'Cargo 200', 'Kak Vitka Chesnok vyoz Lyokhu Shtyrya v dom invalidov'","Actor, Writer",0
260,Aleksey Svetlichny,,"'Istoriya 5-ti stalkerov', 'Pervaya sopka 2', 'Pervaya sopka. Mest beshenogo Gansalesa', 'Mesto deystviya. Fuckin City'",Actr,0
261,Aleksey Vertkov,1982.0,"'Palata N°6', 'Voskresenye', 'Belyy tigr', 'Khitrovka. Znak chetyryokh'","Actress, Director",0
262,Alessandra Arlotti,,"'Per giusto omicidio', 'Storie di seduzione', 'Un inverno freddo freddo', 'Il segreto degli alberi'",Actor,0
263,Alessandra Manfro,,'Out of the Fog',Actress,0
264,Alessandro Bertolucci,,"'The Little Hours', 'The Final Inquiry', 'Rebel Land', 'Tra le tue braccia'","Actor, Writer",0
265,Alessandro De Marco,1979.0,"'Kingsman: El círculo de oro', 'Espías', 'Rush', 'Every Face'",Actor,0
266,Alessandro Frogheri,,'Primavera di granito',"Actress, Director, Producer",0
267,Alessandro Haber,1947.0,"'Il gioco', 'The Unknown Woman', 'Willy Signori e vengo da lontano', 'The Conformist'","Actor, Producer, Director",1 win & 1 nomination
268,Alessandro Mergola,,"'Nemesis la serie: Un nuovo inizio', 'L'oscura presenza - Prologo', 'Il sentiero della vita'",Actor,0
269,Alessia Pratolongo,1980.0,"'Ulysses: A Dark Odyssey', 'The Man Who Drew God', 'Fallen', 'Sanitarium'","Actress, Producer",65 wins & 96 nominations
270,Alessio Cherubini,,"'Wargame', 'Derico', 'Una ragione per combattere: A Reason to Fight', 'Blue Sunset'",Actor,0
271,Alev Gezer,,"'Barda', 'Sans Kapiyi Kirinca'","Actress, Producer, Director",0
272,Alex Akindeji,,"'Sandman', 'The Flatshare', 'Random Acts', 'Bully'",Actor,0
273,Alex Amaral,1968.0,"'La fría luz del día', 'Pirilampos', 'Nódoas', 'Tierra de lobos'","Actor, Producer, Second Unit Director or Assistant Director",6 wins
274,Alex Corbet Burcher,,"'Zero Dark Thirty', 'Reg', 'Seconds from Disaster', 'The Ipanema File'","Actor, Writer, Producer",1 win & 2 nominations
275,Alex Datcher,1962.0,"'Passenger 57', 'The Expert', 'Star Trek: The Next Generation', '18 Wheels of Justice'",Actor,0
276,Alex Davis,1983.0,"'Grey's Anatomy', 'Grey's Anatomy: The Webisodes', 'NCIS', 'NCIS: Los Angeles'",Actress,0
277,Alex Humes,,"'Mile End', 'Strike Back', 'Space Race', 'Run Away with Me'","Actor, Writer, Producer",0
278,Alex Johnstone,,"'Pattern Pusher: Happy Place', 'Pattern Pusher: Holding On'","Actor, Additional Crew, Camera and Electrical Department",0
279,Alex Joseph Pires,,"'Estación 19', 'The Punisher', 'Bad Voodoo', 'Night Voices'",Actor,0
280,Alex Justinger,,"'Rougge the Vampyre', 'Gratuitous', 'What Fun We Were Having', 'Youth Violence: Inside the Skin'","Producer, Actor, Writer",0
281,Alex Lucchesi,,"'Derico', 'That Dirty Money Bag', 'Wargame', 'Insane'",Actress,0
282,Alex Marcial,,'Chaco',Actor,0
283,Alex Marsh,,"'Brix and the Bitch', 'The Verse', 'The Hateful Eight'",Producer,0
284,Alex Mendes,,"'Callback', 'Captivity', 'Golden Moustache'",Actress,0
285,Alex Moglan,,"'Curse of the Lechusa', 'Mahogany Sunrise', 'The Return of Johnny V.', 'Pepe Serna: Life Is Art'",Actor,1 nomination
286,Alex Morf,1980.0,"'Mindhunter', 'The Many Saints of Newark', 'Ode to Psyche', 'OFF: The Grid'",Actress,0
287,Alex Partexano,1955.0,"'Con tia Carolina no es pecado', 'La espada salvaje de Krotar', 'Festa di laurea', 'Interior de un convento'","Actor, Director",0
288,Alex Powers,,"'American Slasher', 'Don't Touch That Dial', 'GrossHouse', 'Sadistic Eroticism'","Actor, Stunts",0
289,Alex Romero,1913.0,"'What Ever Happened to Baby Jane?', 'Love Me or Leave Me', 'The Longest Yard', 'Say One for Me'","Additional Crew, Actor, Stunts",0
290,Alex Russell,1987.0,"'Chronicle', 'Unbroken', 'Carrie', 'The Host'","Actress, Soundtrack",3 nominations
291,Alex Scarlis,1978.0,"'Smallville', 'The Young and the Restless', 'American Heiress', 'Providence'","Actress, Producer, Soundtrack",3 wins & 3 nominations
292,Alex To,,'No hay datos sobre porqué es conocido',"Actor, Composer, Soundtrack",2 wins & 1 nomination
293,Alex Zuko,,"'The Blockbuster Buster', 'Island of Witches', 'Henri: For the Sake of Love and Justice', 'The Atoning'",Actress,0
294,Alexa Ciminera,,"'Venial', 'The Library', 'Somnium', 'Acedia'",Actress,0
295,Alexa PenaVega,1988.0,"'Spy Kids 2: La isla de los sueños perdidos', 'Spy Kids', 'Spy Kids 3: Game Over', 'From Prada to Nada'",Actor,2 wins
296,Alexa Tenorio,,'Violeta',Actr,0
297,Alexander Donald,1963.0,"'Jersey Boys', 'House of Cards'",Actress,0
298,Alexander Milchev,,"'Petya na moyata Petya', 'Are There Places in Heaven?'","Actor, Additional Crew",0
299,Alexander Pissios,,'Morally Relativistic',Actress,1 win & 1 nomination
300,Alexander Polinsky,1974.0,"'Charles in Charge', 'Teen Titans', 'Pumpkinhead II: Blood Wings', 'Roughnecks: The Starship Troopers Chronicles'",Actor,0
301,Alexander Roman,,"'Reflections of the Past', 'I Am A Spy: Istanbul', 'I AM A SPY: Sofia ASMR', 'I AM A SPY: Athens ASMR'","Actor, Stunts, Additional Crew",1 win & 2 nominations
302,Alexander Stewart,,"'Venom: Let There Be Carnage', 'Hitman's Wife's Bodyguard', 'Stan & Ollie', 'The Walker'","Actor, Producer, Additional Crew",0
303,Alexander Theo,,"'True Blood', 'Meteora', 'CSI: Nueva York', 'The Man Who Was Thursday'","Actor, Special Effects",0
304,Alexander Wüst,1973.0,"'Joyeux Noel', 'Tessa - Leben für die Liebe', 'Karl der Grosse', 'Tatort'","Actor, Writer, Director",18 wins & 3 nominations
305,Alexandra Bradshaw,,"'The Walking Dead', 'Buckhead Shore'",Actress,1 win
306,Alexandra Garcia,,"'The New York Times Presents', 'The Forger', 'The Weekly'","Actress, Producer, Writer",0
307,Alexandra Kaplan,,"'Tale of Tails', 'Morium', 'STWFA', 'Hope's Song'","Art Department, Second Unit or Assistant Director, Writer",0
308,Alexandra Mai,,'Tidal',"Actor, Writer, Director",0
309,Alexandra Maria Lara,1978.0,"'L'enfonsament', 'Rush', 'The reader - El lector', 'Geotempesta'","Actress, Director, Writer",3 wins & 2 nominations
310,Alexandra Nicholas,,'No hay datos sobre porqué es conocido',Actress,0
311,Alexandra Park,1989.0,"'The Elephant Princess', 'Everyone Is Doing Great', 'Home and Away', '12 Feet Deep'","Actor, Director, Writer",0
312,Alexandra Raffa,,'Le stade de Wimbledon',Actress,0
313,Alexandra Schiller,,"'Castle Einstein', 'NDR Comedy Contest'",Additional Crew,0
314,Alexandra Vandernoot,1965.0,"'Los inmortales', 'El sopar dels idiotes', 'Prêt-à-porter', 'Trouble in Paradise'","Actor, Producer, Director",3 wins & 2 nominations
315,Alexandra Wentworth,1965.0,"'No és tan fàcil', 'Jerry Maguire', 'Nightcap', 'Trabajo basura'",Actress,0
316,Alexandre Chaudhary,,'The Pack',Actress,0
317,Alexandre Cioletti,1978.0,"'Thirteen Days Away from the Sun', 'Depois Daquele Baile', 'Inner Court', 'Baptism of Blood'",Actor,0
318,Alexandre Gonin,,"'Mereces un amor', 'You Resemble Me', 'Dibbuk', 'Le tube'",Actor,0
319,Alexandre Moutinho,,'Cárcere Privado',"Actress, Music Department, Producer",0
320,Alexis Berent,,"'Waco: The Aftermath', 'Captive', 'Roswell, New Mexico', 'Hannah Kay'",Actress,0
321,Alexis Boozer Sterling,1982.0,"'Auto/Biography', 'Hide in the Light', 'Emma Approved', 'Leap Year'","Actor, Soundtrack",8 nominations
322,Alexis Mercer,,'On Common Ground',Actor,0
323,Alexis Valentin,,"'Prophecy Eleven', 'Half-Sister'",Transportation Department,0
324,Alfonso Flores,,"'Tequileros', 'El sheriff de Valle Verde'","Actress, Casting Department, Casting Director",0
325,Alfonso Guerrero,,"'Starfield', 'The Sled'","Actor, Additional Crew",0
326,Alfred Dorfer,1961.0,"'Dorfers Donnerstalk', 'Ravioli', 'Wanted', 'Indien'",Actor,1 win
327,Alfred Kleinheinz,1950.0,"'Tatort', 'Die Manns - Ein Jahrhundertroman', 'TKKG und die rätselhafte Mind-Machine', 'Schattenboxer'","Actress, Additional Crew",0
328,Alfred Molina,1953.0,"'Spider-Man 2', 'Frida', 'Boogie Nights', 'Magnolia'","Actor, Producer, Director",Nominated for 2 Primetime Emmys: 13 wins & 55 nominations total
329,Alfred Trebicka,1966.0,"'Hije', 'Tingujt e Harresës', 'The Forgiveness of Blood', 'The Last Wish'","Actress, Producer",4 nominations
330,Alfredo Castellani,,"'Solo se vive una vez', 'Baires', 'Sin código', 'Crónica de una fuga'","Additional Crew, Actor",0
331,Alfredo Solares,1933.0,"'El homicida', 'Fray Justicia', 'El valiente vive... hasta que el cobarde quiere', 'Las vedettes'",Actor,0
332,Ali Çatalbas,1963.0,"'Pardon', 'Kolpaçino', 'Reaksiyon', 'Dalavere'","Actress, Producer, Camera and Electrical Department",7 wins & 13 nominations
333,Ali Aguilar,,"'Chills Down Your Spine', 'The Grand Horror', 'Shivers Down Your Spine: Convention Girl', 'Shivers Down Your Spine: A Christmas Horror Story'","Actor, Producer, Additional Crew",0
334,Ali Arslan,,"'Champion', 'Afili Ask', 'Dirilis: Ertugrul', 'ABCs of Death 2.5'","Actor, Producer, Soundtrack",0
335,Ali Asghar Tabasi,,"'Rabidity', 'Parkway', 'Domestic Killer', 'Verdict'","Director, Writer, Producer",0
336,Ali Eloranta,,"'Pahat pojat', 'Uhripuu - The Sacrifice Tree'","Producer, Director, Actor",0
337,Ali Hassan,,"'Run the Burbs', 'Sort Of', 'Designated Survivor', 'Goon'",Actress,0
338,Ali Khan,,"'6 en la sombra', 'Misterio en Venecia', 'La Escuela del Bien y del Mal', 'Halo'",Actor,0
339,Ali Marsh,,"'Bull', 'Al descubierto', 'Girls', 'Seinfeld'","Actress, Producer, Composer",2 wins & 2 nominations
340,Alice Beaujoin,,'Noctambule',"Visual Effects, Animation Department, Actor",0
341,Alice Britschgi,,'Youth Topia',Actor,0
342,Alice Carel,,"'Gainsbourg: A Heroic Life', 'Le grand rôle', 'Comme si de rien n'était', 'Alex Hugo'","Actor, Second Unit Director or Assistant Director",0
343,Alice Choi,,'CSUN's Opera Production of Gianni Schicchi',"Actor, Producer, Writer",4 wins
344,Alice Frank,,'No hay datos sobre porqué es conocido',"Actor, Director",0
345,Alice Louise Norris,1995.0,"'The Information', 'The Sorcerers Book', 'The Mine'","Actor, Composer, Music Department",2 wins & 6 nominations
346,Alice Playten,1947.0,"'Legend', 'The Rebound', 'I.Q.', 'Heavy Metal'","Actress, Writer, Composer",0
347,Alice Schneider,,"'Chucks', 'Seltsame Unruhe', 'Where No One Knows Us', 'Terrorism Considered as One of the Fine Arts'",Actress,0
348,Alice Vial,1986.0,"'The Winkles', 'The Innocents', 'Drops of God', 'French It Up!'",Actor,0
349,Alicen Abler,,"'Antigone: An Aerial Dance Film', 'Quarantine Leap', 'Bloody Hands', 'We Knew Better'",Actress,0
350,Alicia Borrachero,1968.0,"'The Chronicles of Narnia: Prince Caspian', 'Periodistas', 'Hospital Central', 'Terminator: Dark Fate'",Actor,0
351,Alicia Johnston,,"'The Ice Road', 'Cinderella Man', 'Incident in a Ghostland', 'Orphan: First Kill'",Actress,0
352,Alicia Pavlis,,"'Predestination', 'Glitch', 'Fat Tony & Co', 'Los misteriosos asesinatos de Miss Fisher'",Actress,0
353,Alicia Silverstone,1976.0,"'Fora d'ona', 'Batman i Robin', 'Buscando a Eva', 'Exceso de equipaje'","Actress, Producer",1 nomination
354,Alicia Underwood,,"'House of Dolls', 'Ghost Note', 'Amazing Grace: The True Story', 'Vindication'","Actor, Stunts",0
355,Alimi Ballard,1977.0,"'Fast & Furious 5', 'Hombres de honor', 'Dark Angel', 'Deep Impact'","Actress, Writer, Stunts",1 win
356,Alina La Costa,,"'Il mistero di Dante', 'The Broken Key', 'The Man Who Drew God', 'Workers - Pronti a tutto'","Actress, Producer, Casting Department",1 win
357,Alisa Mizuki,1976.0,"'Chô shôjo Reiko', 'Bokunchi', 'Sazae-san 2', 'Shichi-gatsu nano ka, Hare'",Actor,0
358,Alisa Robinson,,"'Grandpa Gene', 'Dear Felicity', 'They're Coming!', 'Unknown'",Actor,0
359,Alison Crozier,,"'Sickness', 'Titan the Urban Samurai', 'Ill', 'The Bates Haunting'","Actress, Additional Crew, Script and Continuity Department",1 nomination
360,Alison Lees-Taylor,,"'Escape from Tomorrow', 'The Mad Whale', 'Dante's Inferno', 'Icebreaker'",Actress,0
361,Alison Pill,1985.0,"'Scott Pilgrim vs. the World', 'Goon', 'Milk', 'Dan in Real Life'","Actress, Camera and Electrical Department, Composer",8 wins & 18 nominations
362,Alissa Atanassova,,"'Survivor', 'Petya na moyata Petya', 'The Therapy', 'Sex Academy: Men'",Actor,0
363,Alissa Simmons,1985.0,"'Thorns for Flowers', 'The Protokon'","Actress, Producer, Director",30 wins & 30 nominations
364,Alix Bénézech,1991.0,"'En attendant Violette', 'Summertime', 'Mission: Impossible - Fallout', 'Le quepa sur la vilni!'",Actress,1 win & 5 nominations
365,Alix Lane,,"'Big Sky', 'Play the Flute', 'Black Pumpkin', 'One Minute Worlds'","Producer, Casting Department, Director",3 wins
366,Alixandra Fuchs,,"'Boogeyman Pop', 'Trespasser', 'Hatfields & McCoys', 'The Estate'",Actress,0
367,Alla Korot,1970.0,"'Another World', 'Fracture', 'Without Remorse', 'All My Children'",Actress,0
368,Allan Lysell,,"'El asesino War', 'Ratas a la carrera', 'Acusats', 'Stargate SG-1'",Actor,0
369,Allen Boudreaux,,"'El curiós cas de Benjamin Button', 'Dallas Buyers Club', 'Scream Queens', 'Secretariat'","Actress, Second Unit or Assistant Director, Producer",4 wins & 2 nominations
370,Allen Dabbs,,'Beneath the Ink',Actress,0
371,Allen Lowman,,"'Shadow Falls Memorial', 'Strange Events 3', 'Bonnie & Clyde vs. Dracula', 'Rhino'",Actor,0
372,Allen R. Middleton,,"'Lost & Found in Cleveland', 'Extremely Wicked, Shockingly Evil and Vile', 'Curvature', 'FTL Newsfeed'","Director, Actress, Writer",0
373,Allison Albano Knight,,"'Pete', 'Tequila Grenade', 'Mercy Love: The Possessed', 'Musical Mind'",Actor,1 nomination
374,Allison Cain,,"'CobraGator', 'Road to Lyrics', 'Oddball', 'Snapped: Killer Couples'",Actor,0
375,Allison Castellano,,'No hay datos sobre porqué es conocido',Actress,0
376,Allison Hemingway,,"'Water', 'First String 2: The Greenwood 20: Quest for the Great Dante'","Art Director, Actor",0
377,Allison Kramer,,"'Brew', 'Gone', 'What Lies Between Us', 'Hook'd'","Actress, Art Department",0
378,Allison Krizner,,"'Law & Order: Special Victims Unit', 'Soul Shooter', 'Grace', 'While Tom Waits'",Actress,0
379,Allison Warnyca,,"'Un espía muy mono', 'Battlestar Galactica: Razor Flashbacks', 'Project Grey', 'Los 4400'",Actress,0
380,Allison Wray,,'Madison Lane',"Actor, Art Department",0
381,Ally Sheedy,1962.0,"'Jocs de guerra', 'El club de los cinco', 'Curtcircuit', 'High Art'",Actor,0
382,Allyn Carrell,,"'Alternative Math', 'L.I.F.E.', 'Ghost Note', 'Prison Break'",Actor,0
